16, 29, 23, 27, 32, 27, 30, 26, 28, 30, 30, 25, 27, 31, 29, 27, 29, 31, 30, 28, 32, 25, 26, 30, 30, 30, 31, 27, 29, 29, 26, 25, 25, 26, 26, 29, 25, 29, 29, 32, 28, 26, 32, 38, 34, 34, 40, 41, 38, 40, 37, 38, 42, 45, 30, 33, 38, 34, 34, 33, 28, 24, 28, 27, 28, 30, 27, 25, 30, 30, 29, 28, 26, 30, 34, 30, 30, 26, 26, 27, 32, 31, 31, 32, 29, 30, 31, 28, 32, 25, 31, 29, 30, 28, 26, 33, 30, 29, 33, 25, 
12, 14, 26, 28, 28, 30, 29, 32, 28, 26, 25, 32, 30, 28, 34, 39, 30, 27, 28, 29, 29, 31, 30, 27, 25, 30, 28, 26, 30, 24, 29, 26, 27, 30, 35, 37, 29, 30, 28, 25, 28, 28, 28, 30, 32, 30, 30, 25, 29, 30, 30, 28, 30, 30, 29, 26, 32, 29, 29, 35, 38, 34, 31, 28, 28, 30, 39, 26, 26, 25, 29, 28, 28, 34, 33, 36, 31, 27, 26, 30, 30, 30, 29, 35, 30, 28, 27, 30, 29, 31, 31, 33, 28, 31, 28, 31, 30, 30, 27, 31, 
23, 20, 31, 30, 35, 41, 31, 27, 32, 28, 29, 30, 27, 25, 28, 26, 31, 26, 27, 29, 27, 29, 29, 26, 30, 28, 30, 31, 27, 29, 29, 32, 35, 33, 34, 31, 28, 31, 29, 30, 28, 25, 30, 31, 31, 28, 34, 33, 25, 29, 30, 29, 30, 25, 37, 34, 31, 29, 27, 28, 30, 28, 29, 32, 27, 27, 35, 33, 27, 33, 31, 34, 35, 28, 28, 29, 28, 26, 28, 28, 30, 29, 26, 26, 28, 30, 28, 26, 32, 31, 34, 26, 30, 31, 31, 32, 31, 31, 30, 37, 
18, 30, 28, 29, 30, 32, 33, 27, 25, 32, 28, 26, 28, 31, 27, 29, 29, 30, 32, 37, 23, 31, 25, 27, 30, 31, 30, 27, 27, 26, 25, 32, 32, 29, 31, 32, 26, 30, 33, 28, 27, 26, 25, 31, 28, 29, 26, 28, 32, 37, 29, 29, 28, 28, 28, 26, 26, 33, 28, 29, 27, 27, 25, 26, 30, 29, 35, 29, 30, 35, 29, 31, 30, 29, 30, 29, 32, 27, 30, 30, 33, 30, 27, 30, 30, 29, 27, 29, 30, 30, 30, 30, 30, 29, 28, 26, 28, 35, 38, 35, 
21, 30, 38, 40, 38, 31, 31, 32, 31, 34, 24, 25, 28, 30, 26, 28, 26, 36, 35, 37, 34, 33, 28, 29, 27, 30, 29, 36, 37, 30, 29, 28, 28, 34, 32, 34, 32, 30, 28, 33, 29, 27, 30, 29, 26, 29, 29, 25, 29, 27, 26, 30, 27, 29, 26, 28, 29, 30, 30, 29, 28, 27, 27, 27, 28, 30, 28, 35, 25, 26, 27, 33, 32, 25, 30, 27, 28, 26, 36, 29, 34, 42, 36, 26, 30, 28, 30, 25, 28, 28, 27, 25, 26, 32, 33, 29, 35, 31, 28, 32, 
20, 29, 28, 28, 31, 31, 31, 30, 29, 32, 29, 33, 31, 31, 27, 29, 27, 29, 34, 33, 29, 28, 31, 31, 27, 26, 26, 29, 29, 27, 30, 29, 32, 31, 34, 32, 29, 25, 27, 31, 30, 30, 29, 33, 44, 41, 33, 29, 32, 32, 34, 30, 29, 30, 26, 25, 25, 29, 35, 35, 34, 38, 30, 37, 29, 28, 32, 28, 33, 28, 28, 27, 29, 34, 26, 26, 27, 30, 36, 32, 27, 30, 26, 28, 29, 27, 25, 28, 31, 29, 26, 30, 31, 29, 27, 31, 27, 26, 30, 26, 
9, 18, 25, 26, 27, 25, 35, 30, 28, 32, 26, 31, 31, 35, 26, 30, 29, 27, 29, 25, 28, 30, 28, 27, 32, 28, 29, 30, 28, 29, 32, 27, 26, 27, 29, 26, 23, 28, 26, 34, 27, 26, 25, 29, 29, 26, 30, 26, 25, 26, 29, 31, 26, 30, 26, 31, 27, 30, 27, 29, 29, 30, 33, 30, 31, 30, 27, 26, 29, 31, 32, 30, 28, 29, 28, 31, 31, 30, 29, 25, 34, 33, 26, 27, 25, 26, 34, 38, 29, 29, 28, 28, 28, 29, 32, 30, 35, 34, 31, 32, 
15, 26, 30, 25, 31, 27, 34, 32, 29, 31, 29, 31, 30, 32, 31, 34, 33, 34, 27, 27, 28, 30, 30, 27, 36, 31, 27, 27, 26, 26, 30, 26, 30, 27, 29, 28, 35, 28, 29, 29, 31, 29, 31, 29, 25, 27, 28, 26, 29, 26, 26, 31, 29, 28, 30, 30, 28, 28, 29, 25, 26, 27, 32, 29, 27, 29, 27, 30, 26, 25, 32, 27, 31, 30, 28, 32, 25, 35, 30, 27, 21, 29, 33, 25, 29, 33, 31, 29, 28, 25, 28, 30, 28, 31, 25, 27, 31, 26, 31, 31, 
11, 22, 26, 39, 26, 30, 31, 30, 26, 30, 27, 32, 33, 29, 26, 30, 30, 30, 28, 25, 27, 29, 28, 26, 30, 28, 22, 28, 31, 29, 34, 29, 31, 26, 32, 29, 31, 29, 27, 30, 29, 31, 31, 27, 27, 27, 28, 29, 26, 26, 28, 26, 25, 39, 40, 38, 39, 30, 30, 28, 27, 29, 27, 27, 28, 27, 29, 25, 31, 29, 29, 31, 32, 36, 33, 23, 37, 44, 46, 39, 38, 43, 29, 27, 27, 32, 40, 39, 39, 25, 30, 30, 27, 30, 32, 35, 31, 30, 27, 29, 
20, 32, 28, 30, 27, 29, 30, 26, 29, 30, 30, 29, 30, 28, 27, 26, 31, 25, 29, 30, 30, 27, 31, 28, 29, 28, 25, 29, 31, 31, 32, 28, 27, 31, 31, 31, 27, 33, 28, 32, 28, 26, 30, 25, 32, 33, 27, 30, 28, 35, 32, 30, 25, 31, 29, 31, 28, 32, 28, 29, 31, 30, 28, 27, 28, 29, 28, 28, 27, 31, 30, 33, 25, 29, 29, 31, 37, 42, 44, 34, 29, 31, 29, 26, 30, 29, 30, 35, 39, 28, 30, 25, 31, 36, 28, 29, 26, 26, 28, 27, 
11, 29, 32, 28, 30, 31, 28, 28, 28, 31, 26, 29, 29, 36, 28, 29, 30, 30, 34, 30, 31, 25, 29, 25, 25, 29, 28, 28, 31, 30, 28, 31, 28, 26, 31, 28, 29, 26, 27, 30, 29, 29, 26, 31, 26, 32, 30, 28, 29, 28, 33, 29, 30, 34, 33, 31, 27, 27, 32, 38, 35, 28, 31, 26, 26, 27, 28, 28, 26, 29, 28, 28, 27, 30, 28, 30, 29, 26, 28, 33, 26, 28, 27, 30, 28, 29, 30, 28, 30, 27, 28, 34, 31, 33, 25, 28, 30, 26, 29, 31, 
17, 28, 25, 27, 31, 32, 37, 28, 26, 30, 26, 27, 35, 42, 46, 42, 42, 38, 23, 28, 28, 28, 35, 25, 30, 28, 30, 25, 31, 34, 27, 30, 32, 32, 32, 31, 28, 28, 29, 30, 25, 26, 31, 28, 30, 26, 28, 28, 35, 27, 28, 28, 34, 33, 34, 42, 37, 28, 26, 26, 31, 29, 27, 29, 27, 28, 30, 29, 26, 26, 30, 27, 31, 30, 26, 29, 24, 31, 29, 31, 22, 23, 25, 30, 28, 27, 31, 28, 29, 26, 26, 29, 27, 33, 30, 30, 26, 31, 32, 27, 
15, 16, 32, 33, 28, 38, 32, 31, 26, 31, 28, 32, 30, 27, 33, 31, 29, 25, 32, 30, 30, 26, 29, 33, 34, 32, 26, 27, 29, 27, 25, 27, 25, 30, 29, 25, 30, 30, 27, 30, 28, 27, 32, 27, 33, 25, 32, 34, 33, 25, 26, 29, 27, 36, 32, 30, 29, 31, 30, 30, 28, 27, 30, 30, 29, 30, 34, 25, 28, 27, 30, 28, 30, 28, 30, 28, 27, 31, 26, 27, 30, 33, 33, 27, 36, 29, 31, 31, 29, 34, 37, 36, 27, 28, 29, 27, 34, 31, 30, 29, 
9, 17, 30, 29, 29, 28, 31, 26, 27, 26, 32, 30, 28, 31, 41, 45, 40, 44, 42, 39, 28, 29, 27, 33, 31, 34, 33, 30, 31, 32, 34, 40, 30, 25, 30, 30, 26, 27, 25, 32, 30, 26, 28, 27, 27, 28, 35, 28, 28, 28, 31, 31, 25, 27, 27, 30, 30, 28, 29, 28, 30, 33, 29, 25, 25, 30, 29, 29, 29, 28, 30, 31, 28, 30, 28, 27, 27, 31, 25, 30, 37, 30, 31, 27, 29, 31, 29, 33, 30, 31, 31, 30, 28, 27, 34, 26, 28, 28, 28, 26, 
11, 23, 32, 28, 26, 31, 31, 27, 30, 28, 27, 27, 31, 28, 28, 28, 25, 25, 27, 27, 32, 27, 24, 35, 38, 32, 30, 31, 32, 26, 28, 29, 29, 26, 23, 31, 25, 28, 30, 25, 29, 27, 31, 29, 25, 25, 27, 28, 26, 28, 25, 32, 34, 33, 33, 27, 30, 29, 31, 27, 26, 28, 30, 29, 30, 27, 29, 30, 28, 30, 29, 30, 30, 25, 30, 28, 30, 28, 29, 25, 33, 25, 30, 31, 33, 27, 25, 30, 25, 27, 30, 30, 28, 28, 27, 27, 23, 29, 28, 30, 
25, 28, 30, 37, 36, 30, 33, 31, 25, 30, 29, 27, 29, 29, 29, 25, 30, 26, 30, 29, 28, 27, 33, 33, 30, 28, 32, 25, 27, 29, 28, 27, 26, 26, 28, 28, 30, 30, 31, 25, 36, 32, 31, 28, 28, 29, 28, 28, 30, 30, 25, 29, 32, 27, 31, 30, 29, 25, 35, 27, 29, 31, 29, 25, 30, 28, 27, 32, 27, 25, 25, 29, 27, 29, 31, 33, 34, 31, 29, 26, 29, 41, 36, 46, 44, 45, 37, 28, 30, 31, 24, 26, 31, 28, 32, 26, 30, 31, 29, 33, 
20, 34, 30, 33, 30, 29, 27, 30, 28, 35, 27, 39, 32, 27, 34, 34, 32, 27, 29, 23, 27, 31, 30, 26, 31, 30, 28, 30, 29, 25, 28, 30, 29, 27, 30, 30, 27, 29, 27, 33, 30, 36, 30, 29, 32, 29, 35, 26, 30, 27, 30, 26, 29, 28, 26, 28, 31, 33, 26, 29, 25, 28, 30, 26, 30, 25, 29, 27, 28, 30, 25, 26, 28, 29, 28, 29, 28, 30, 25, 30, 28, 26, 33, 28, 34, 30, 29, 29, 30, 30, 28, 27, 34, 32, 36, 33, 30, 27, 25, 27, 
12, 18, 28, 35, 27, 31, 33, 25, 27, 21, 25, 26, 24, 25, 28, 28, 28, 29, 29, 30, 40, 33, 26, 30, 31, 30, 28, 30, 31, 32, 30, 25, 29, 28, 29, 28, 32, 29, 33, 31, 29, 25, 26, 28, 29, 30, 32, 30, 26, 29, 27, 31, 33, 29, 32, 27, 26, 25, 27, 27, 38, 39, 29, 30, 35, 30, 30, 30, 28, 29, 27, 28, 30, 32, 28, 30, 31, 37, 31, 33, 25, 25, 30, 35, 28, 28, 30, 27, 25, 28, 30, 29, 30, 23, 31, 26, 29, 23, 34, 30, 
26, 30, 28, 30, 27, 27, 31, 31, 28, 25, 29, 30, 30, 29, 32, 32, 28, 30, 34, 28, 25, 28, 31, 27, 29, 30, 31, 27, 32, 29, 27, 34, 28, 29, 29, 30, 25, 30, 30, 27, 30, 26, 28, 28, 34, 31, 32, 30, 28, 28, 33, 34, 37, 30, 26, 26, 26, 30, 30, 35, 30, 33, 30, 39, 31, 28, 26, 33, 30, 28, 29, 27, 34, 27, 28, 30, 25, 29, 27, 29, 26, 28, 26, 30, 28, 30, 31, 30, 28, 26, 34, 32, 31, 26, 29, 35, 30, 27, 28, 29, 
8, 25, 37, 30, 29, 31, 27, 27, 27, 29, 28, 30, 27, 31, 29, 26, 28, 22, 29, 31, 32, 26, 27, 27, 32, 25, 32, 27, 29, 26, 28, 26, 29, 30, 36, 35, 30, 31, 32, 29, 31, 28, 27, 29, 30, 28, 32, 26, 27, 32, 26, 30, 27, 28, 31, 25, 30, 29, 30, 31, 29, 28, 29, 32, 32, 27, 30, 28, 28, 28, 27, 31, 29, 29, 25, 23, 26, 30, 31, 30, 30, 27, 28, 28, 32, 29, 30, 28, 29, 30, 30, 29, 32, 30, 32, 27, 26, 30, 27, 31, 
