12, -87, -211, -327, -417, -467, -551, -614, -736, -848, -853, -966, -1070, -1136, -1206, -1293, -1355, -1382, -1482, -1456, -1558, -1568, -1692, -1816, -1847, -1828, -1884, -1925, -2046, -1944, -1984, -1997, -2108, -2200, -2326, -2437, -2566, -2663, -2784, -2911, -2976, -3019, -3105, -3208, -3380, -3421, -3518, -3626, -3672, -3844, -3952, -4106, -4136, -4245, -4224, -4280, -4419, -4490, -4535, -4666, -4739, -4863, -5004, -4966, -5117, -5148, -5154, -5265, -5380, -5490, -5627, -5760, -5805, -5810, -5840, -5774, -5803, -5818, -5877, -5968, -6119, -6204, -6290, -6464, -6526, -6607, -6565, -6615, -6738, -6797, -6931, -7032, -7161, -7324, -7373, -7443, -7589, -7663, -7793, -7942, 
-54, -150, -275, -368, -462, -520, -678, -734, -794, -874, -918, -1001, -1071, -1140, -1276, -1418, -1575, -1695, -1774, -1817, -1868, -1946, -2094, -2172, -2186, -2254, -2351, -2540, -2582, -2601, -2680, -2821, -2883, -3062, -2997, -3101, -3245, -3344, -3402, -3517, -3571, -3593, -3554, -3647, -3777, -3892, -3949, -4072, -4205, -4235, -4338, -4477, -4555, -4574, -4464, -4570, -4483, -4488, -4525, -4646, -4645, -4797, -4870, -4939, -5055, -5206, -5387, -5497, -5547, -5647, -5743, -5824, -5904, -5969, -5989, -6117, -6294, -6441, -6467, -6622, -6711, -6828, -6813, -6876, -6894, -7010, -7089, -7187, -7192, -7283, -7376, -7486, -7537, -7570, -7632, -7761, -7722, -7759, -7810, -7946, 
-80, -79, -249, -404, -510, -598, -764, -820, -958, -1056, -1169, -1234, -1276, -1388, -1536, -1569, -1600, -1670, -1814, -1888, -2071, -2085, -2157, -2253, -2320, -2370, -2522, -2612, -2713, -2813, -2900, -3000, -3039, -3123, -3206, -3270, -3344, -3471, -3459, -3571, -3737, -3737, -3853, -3966, -4048, -4138, -4152, -4190, -4267, -4298, -4362, -4501, -4561, -4620, -4611, -4660, -4755, -4894, -4954, -5014, -5111, -5131, -5214, -5315, -5374, -5504, -5567, -5679, -5716, -5874, -5916, -6012, -6067, -6086, -6139, -6095, -6169, -6184, -6302, -6449, -6502, -6667, -6829, -6925, -7054, -7119, -7151, -7172, -7183, -7275, -7424, -7511, -7545, -7563, -7687, -7835, -7989, -8103, -8199, -8313, 
25, -10, -56, -56, -219, -338, -364, -363, -509, -647, -739, -767, -767, -907, -1003, -1075, -1192, -1316, -1398, -1501, -1577, -1626, -1725, -1819, -1893, -1977, -2015, -2068, -2195, -2303, -2394, -2502, -2512, -2564, -2606, -2663, -2792, -2735, -2767, -2844, -2938, -3087, -3214, -3305, -3377, -3563, -3652, -3783, -3783, -3831, -3888, -4012, -4052, -4186, -4272, -4254, -4264, -4259, -4363, -4436, -4525, -4569, -4655, -4777, -4791, -4859, -4969, -5052, -5125, -5144, -5269, -5347, -5443, -5535, -5657, -5663, -5717, -5849, -5995, -6140, -6226, -6388, -6548, -6572, -6644, -6856, -6934, -7045, -7180, -7279, -7431, -7489, -7549, -7684, -7818, -7948, -8006, -8024, -8130, -8260, 
-55, -40, -180, -88, -186, -351, -429, -458, -630, -706, -842, -939, -1086, -1187, -1330, -1420, -1454, -1444, -1547, -1666, -1608, -1670, -1704, -1779, -1935, -2050, -2137, -2198, -2113, -2273, -2361, -2469, -2516, -2647, -2763, -2871, -2894, -3029, -3167, -3285, -3372, -3506, -3495, -3601, -3695, -3815, -3945, -4011, -4142, -4285, -4371, -4414, -4479, -4557, -4667, -4799, -4845, -4926, -4958, -5038, -5214, -5327, -5512, -5593, -5567, -5594, -5635, -5676, -5804, -5782, -5829, -5982, -6030, -6050, -6161, -6277, -6386, -6461, -6570, -6703, -6840, -6847, -6972, -7088, -7090, -7109, -6954, -7113, -7128, -7209, -7330, -7370, -7524, -7691, -7768, -7860, -7930, -8023, -8153, -8203, 
-4, -29, -57, -65, -177, -281, -338, -501, -523, -651, -790, -791, -903, -995, -1122, -1209, -1291, -1344, -1411, -1506, -1575, -1680, -1812, -1968, -2048, -2160, -2262, -2372, -2480, -2542, -2597, -2679, -2784, -2800, -2954, -3063, -3232, -3284, -3389, -3438, -3520, -3539, -3682, -3772, -3752, -3801, -3910, -4011, -4050, -4154, -4240, -4253, -4261, -4256, -4347, -4407, -4450, -4574, -4749, -4937, -5016, -5138, -5182, -5221, -5372, -5488, -5552, -5727, -5850, -5866, -5947, -6013, -6109, -6171, -6132, -6204, -6346, -6290, -6425, -6539, -6638, -6706, -6822, -6903, -6963, -7081, -6996, -7115, -7252, -7229, -7293, -7393, -7536, -7675, -7732, -7803, -7907, -8042, -8119, -8214, 
-38, 2, -66, -203, -207, -330, -349, -407, -440, -442, -540, -595, -699, -798, -841, -866, -911, -934, -960, -1098, -1077, -1094, -1116, -1210, -1309, -1402, -1522, -1642, -1747, -1868, -2003, -2091, -2240, -2299, -2436, -2511, -2598, -2733, -2831, -2947, -2977, -2914, -2938, -2938, -2981, -3119, -3280, -3396, -3552, -3634, -3788, -3801, -3812, -3915, -3922, -3787, -3835, -3968, -4052, -4161, -4181, -4272, -4381, -4442, -4564, -4678, -4723, -4784, -4810, -4919, -5015, -5095, -5170, -5248, -5247, -5267, -5294, -5418, -5500, -5681, -5762, -5925, -5940, -6027, -6121, -6257, -6413, -6440, -6522, -6568, -6648, -6694, -6739, -6875, -6973, -7010, -7186, -7330, -7477, -7651, 
-27, -88, -202, -311, -395, -400, -441, -489, -514, -615, -780, -874, -965, -1013, -1058, -1182, -1209, -1286, -1365, -1483, -1471, -1449, -1528, -1599, -1668, -1731, -1891, -1884, -1990, -1918, -2051, -2127, -2208, -2224, -2340, -2438, -2626, -2563, -2577, -2606, -2671, -2725, -2851, -2978, -3001, -3068, -3130, -3201, -3381, -3482, -3567, -3531, -3677, -3746, -3844, -3761, -3866, -3874, -3965, -4128, -4177, -4301, -4279, -4406, -4473, -4603, -4738, -4762, -4815, -4925, -4967, -5057, -5023, -5146, -5194, -5221, -5185, -5262, -5383, -5424, -5507, -5487, -5522, -5533, -5628, -5754, -5757, -5854, -5906, -5974, -6055, -6070, -6124, -6074, -6157, -6210, -6313, -6294, -6425, -6551, 
29, 28, -136, -272, -304, -383, -509, -453, -549, -657, -669, -683, -739, -881, -960, -986, -1046, -1089, -1168, -1301, -1402, -1512, -1610, -1716, -1768, -1940, -2044, -2177, -2258, -2345, -2426, -2421, -2454, -2512, -2629, -2710, -2764, -2909, -3029, -3184, -3244, -3351, -3449, -3522, -3580, -3709, -3805, -3957, -4106, -4178, -4227, -4275, -4340, -4381, -4466, -4556, -4673, -4814, -4923, -5011, -5093, -5230, -5341, -5489, -5574, -5645, -5707, -5747, -5805, -5779, -5880, -5910, -5950, -6060, -6178, -6209, -6359, -6447, -6502, -6503, -6572, -6663, -6739, -6867, -6982, -7106, -7174, -7203, -7179, -7318, -7377, -7469, -7502, -7554, -7653, -7723, -7772, -7853, -8028, -8125, 
-103, -251, -297, -346, -430, -569, -638, -773, -887, -1024, -1111, -1209, -1327, -1376, -1469, -1601, -1748, -1807, -1891, -1955, -2084, -2157, -2211, -2292, -2376, -2436, -2585, -2698, -2673, -2786, -2948, -3032, -3128, -3262, -3309, -3421, -3522, -3560, -3707, -3822, -3921, -3988, -4099, -4127, -4121, -4254, -4316, -4428, -4476, -4532, -4615, -4643, -4741, -4756, -4743, -4840, -4887, -4987, -5065, -5135, -5259, -5371, -5483, -5606, -5592, -5671, -5774, -5951, -6054, -6190, -6303, -6432, -6523, -6576, -6607, -6713, -6746, -6863, -6944, -7009, -7163, -7175, -7245, -7325, -7386, -7531, -7680, -7637, -7713, -7809, -7876, -7887, -7968, -8010, -8063, -8111, -8233, -8333, -8409, -8561, 
