0, 4.0, 2.5, 1.0 
180, 6.2, 4.6, 145.8 
360, 6.3, 4.6, 290.0 
540, 6.2, 4.6, 434.1 
720, 6.3, 4.6, 578.2 
900, 6.2, 4.6, 722.5 
1080, 6.2, 4.6, 866.5 
1260, 6.2, 4.6, 1010.9 
1440, 6.2, 4.6, 1155.1 
1620, 6.2, 4.6, 1299.1 
1800, 6.3, 4.6, 1443.6 
1980, 6.2, 4.6, 1587.6 
2160, 6.3, 4.6, 1731.8 
2340, 6.3, 4.6, 1876.0 
2520, 6.3, 4.6, 2020.1 
2700, 6.2, 4.6, 2164.1 
2880, 6.3, 4.6, 2308.3 
3060, 6.3, 4.6, 2452.7 
3240, 6.3, 4.6, 2597.0 
3420, 6.3, 4.6, 2740.9 
3600, 6.3, 4.6, 2885.0 
3780, 6.2, 4.7, 3029.4 
3960, 6.2, 4.6, 3173.7 
4140, 6.3, 4.6, 3317.8 
4320, 6.2, 4.6, 3462.1 
4500, 6.3, 4.6, 3606.5 
4680, 6.2, 4.6, 3750.7 
4860, 6.2, 4.6, 3894.9 
5040, 6.3, 4.6, 4039.0 
5220, 6.2, 4.6, 4183.2 
5400, 6.2, 4.6, 4327.2 
5580, 6.3, 4.6, 4471.4 
5760, 6.2, 4.6, 4615.7 
5940, 6.3, 4.6, 4759.6 
6120, 6.2, 4.6, 4903.8 
6300, 6.2, 4.6, 5047.8 
6480, 6.2, 4.6, 5191.9 
6660, 6.2, 4.6, 5336.2 
6840, 6.2, 4.6, 5480.4 
7020, 6.1, 4.6, 5624.3 
7200, 6.3, 4.6, 5768.5 
7380, 6.2, 4.6, 5912.6 
7560, 6.3, 4.6, 6056.8 
7740, 6.2, 4.6, 6201.1 
7920, 6.2, 4.6, 6345.1 
8100, 6.2, 4.6, 6489.3 
8280, 6.2, 4.6, 6633.5 
8460, 6.2, 4.6, 6777.7 
8640, 6.2, 4.6, 6921.9 
8820, 6.3, 4.6, 7066.0 
9000, 6.2, 4.6, 7210.1 
9180, 6.2, 4.6, 7354.4 
9360, 6.2, 4.6, 7498.7 
9540, 6.2, 4.6, 7642.8 
9720, 6.3, 4.6, 7786.9 
9900, 6.2, 4.6, 7931.0 
10080, 6.2, 4.6, 8075.1 
10260, 6.3, 4.6, 8219.2 
10440, 6.2, 4.6, 8363.3 
10620, 6.3, 4.6, 8507.4 
10800, 6.2, 4.6, 8651.4 
10980, 6.3, 4.6, 8795.7 
11160, 6.2, 4.6, 8939.9 
11340, 6.2, 4.5, 9084.3 
11520, 6.2, 4.6, 9228.5 
11700, 6.2, 4.6, 9372.6 
11880, 6.2, 4.6, 9516.7 
12060, 6.2, 4.6, 9660.6 
12240, 6.2, 4.6, 9804.7 
12420, 6.2, 4.6, 9948.8 
12600, 6.2, 4.6, 10092.8 
12780, 6.2, 4.6, 10237.0 
12960, 6.1, 4.6, 10381.3 
13140, 6.3, 4.6, 10525.3 
13320, 6.2, 4.6, 10669.3 
13500, 6.2, 4.6, 10813.4 
13680, 6.3, 4.6, 10957.3 
13860, 6.3, 4.6, 11101.5 
14040, 6.2, 4.6, 11245.7 
14220, 6.2, 4.6, 11389.7 
14400, 6.2, 4.6, 11533.8 
14580, 6.3, 4.6, 11677.9 
14760, 6.3, 4.6, 11821.9 
14940, 6.3, 4.6, 11965.8 
15120, 6.2, 4.6, 12110.1 
15300, 6.2, 4.6, 12254.4 
15480, 6.2, 4.6, 12398.6 
15660, 6.2, 4.6, 12542.8 
15840, 6.3, 4.6, 12687.1 
16020, 6.2, 4.6, 12831.2 
16200, 6.3, 4.5, 12975.5 
16380, 6.2, 4.6, 13119.6 
16560, 6.2, 4.6, 13263.8 
16740, 6.2, 4.6, 13408.1 
16920, 6.2, 4.6, 13552.3 
17100, 6.2, 4.6, 13696.2 
17280, 6.2, 4.6, 13840.5 
17460, 6.3, 4.7, 13984.8 
17640, 6.2, 4.6, 14128.9 
17820, 6.2, 4.6, 14273.2 
