0, 2.0, 1.6, 1.0 
10000, 3.2, 2.7, 9935.8 
20000, 2.6, 3.2, 19876.2 
30000, 3.5, 2.5, 29818.7 
40000, 3.8, 3.4, 39772.7 
50000, 2.6, 2.5, 49714.2 
60000, 4.1, 2.6, 59661.1 
70000, 5.2, 3.1, 69610.2 
80000, 3.5, 2.3, 79557.0 
90000, 3.6, 3.1, 89495.4 
100000, 3.2, 3.0, 99443.4 
110000, 3.8, 2.7, 109387.5 
120000, 4.2, 3.3, 119336.1 
130000, 4.4, 2.1, 129289.1 
140000, 4.1, 2.7, 139228.3 
150000, 3.6, 2.7, 149174.5 
160000, 2.4, 2.2, 159109.3 
170000, 3.2, 3.0, 169038.9 
180000, 3.2, 3.0, 178991.4 
190000, 3.5, 2.7, 188933.9 
200000, 5.0, 3.1, 198890.0 
210000, 4.5, 2.9, 208833.1 
220000, 3.4, 2.5, 218776.4 
230000, 4.6, 2.1, 228710.8 
240000, 2.6, 3.0, 238658.3 
250000, 2.7, 1.5, 248609.8 
260000, 4.2, 3.9, 258556.7 
270000, 4.0, 2.9, 268503.4 
280000, 3.6, 3.0, 278438.6 
290000, 4.1, 2.6, 288384.4 
300000, 4.3, 2.0, 298330.8 
310000, 3.7, 2.4, 308272.8 
320000, 3.3, 2.4, 318224.5 
330000, 2.1, 2.4, 328160.7 
340000, 3.0, 2.9, 338109.2 
350000, 3.8, 2.6, 348046.2 
360000, 4.2, 2.3, 357981.3 
370000, 4.8, 2.5, 367925.7 
380000, 2.2, 2.9, 377861.2 
390000, 4.6, 3.0, 387809.1 
400000, 4.4, 2.9, 397750.3 
410000, 4.2, 1.9, 407694.2 
420000, 4.0, 2.8, 417641.8 
430000, 4.3, 2.4, 427588.9 
440000, 4.0, 2.4, 437536.4 
450000, 5.3, 2.2, 447477.1 
460000, 3.8, 1.6, 457427.5 
470000, 3.6, 1.9, 467367.7 
480000, 3.4, 2.2, 477312.6 
490000, 2.9, 2.7, 487265.1 
500000, 3.1, 2.3, 497212.8 
510000, 2.8, 2.3, 507155.5 
520000, 4.5, 3.2, 517107.1 
530000, 4.0, 2.4, 527047.0 
540000, 4.1, 3.7, 536988.6 
550000, 4.9, 2.9, 546916.8 
560000, 4.8, 2.0, 556869.5 
570000, 3.9, 2.3, 566816.2 
580000, 3.3, 2.7, 576770.1 
590000, 4.2, 3.6, 586714.4 
600000, 4.8, 2.9, 596658.4 
610000, 4.2, 2.4, 606597.4 
620000, 4.1, 2.4, 616538.8 
630000, 4.9, 2.5, 626485.9 
640000, 4.3, 3.1, 636426.1 
650000, 4.6, 2.2, 646366.4 
660000, 4.7, 3.5, 656306.5 
670000, 3.8, 2.6, 666249.4 
680000, 4.3, 2.9, 676188.4 
690000, 3.3, 2.8, 686128.6 
700000, 2.9, 2.3, 696074.3 
710000, 4.3, 2.2, 706013.1 
720000, 3.4, 3.0, 715959.6 
730000, 4.0, 2.5, 725904.5 
740000, 3.8, 2.7, 735855.0 
750000, 2.9, 2.5, 745797.0 
760000, 4.9, 2.7, 755744.4 
770000, 4.9, 3.0, 765684.9 
780000, 4.1, 2.7, 775624.3 
790000, 4.5, 2.0, 785574.0 
800000, 2.7, 3.4, 795522.4 
810000, 2.8, 2.2, 805476.5 
820000, 2.8, 3.0, 815423.6 
830000, 3.2, 1.9, 825368.6 
840000, 4.6, 3.9, 835313.0 
850000, 2.9, 2.2, 845259.8 
860000, 5.4, 3.5, 855194.1 
870000, 2.6, 2.7, 865138.4 
880000, 3.7, 3.0, 875092.3 
890000, 4.6, 2.5, 885025.3 
900000, 4.3, 0.9, 894971.4 
910000, 5.4, 2.4, 904915.0 
920000, 5.2, 2.5, 914862.2 
930000, 2.8, 3.1, 924816.0 
940000, 4.0, 2.1, 934759.4 
950000, 5.0, 2.5, 944712.2 
960000, 4.1, 3.0, 954652.8 
970000, 4.6, 2.0, 964600.5 
980000, 3.4, 2.6, 974548.8 
990000, 4.3, 2.9, 984485.6 
